i,bplus_s,brute_s
163,2.6249999791616574e-06,3.716999344760552e-06
164,2.574999598436989e-06,4.088000423507765e-06
165,2.634998963912949e-06,3.727000148501247e-06
166,2.6249999791616574e-06,3.656999979284592e-06
167,2.8449994715629146e-06,4.267998519935645e-06
168,3.6260007618693635e-06,3.757000740733929e-06
169,2.363998646615073e-06,3.8670004869345576e-06
170,2.4739983928157017e-06,3.7869995139772072e-06
171,2.3749998945277184e-06,3.887998900609091e-06
172,3.646999175543897e-06,3.926999852410518e-06
173,2.4450000637443736e-06,4.478999471757561e-06
174,6.141999620012939e-06,4.01800025429111e-06
175,3.58600118488539e-06,3.997000021627173e-06
176,3.8569996831938624e-06,3.908000508090481e-06
177,2.7449987101135775e-06,3.897999704349786e-06
178,6.050999218132347e-06,4.0979994082590565e-06
179,2.6149991754209623e-06,3.907000063918531e-06
180,3.56700002157595e-06,3.927998477593064e-06
181,3.907000063918531e-06,4.338000508141704e-06
182,6.361999112414196e-06,3.998000465799123e-06
183,2.7850001060869545e-06,4.15800059272442e-06
184,2.4450000637443736e-06,4.13799898524303e-06
185,5.240000973572023e-06,4.0380000427830964e-06
186,8.485998478136025e-06,4.1480016079731286e-06
187,2.5649987946962938e-06,3.997000021627173e-06
188,2.495000444469042e-06,4.128000000491738e-06
189,2.454999048495665e-06,4.01800025429111e-06
190,2.435001078993082e-06,4.157998773735017e-06
191,5.390000296756625e-06,3.937000656151213e-06
192,4.1380008042324334e-06,4.167999577475712e-06
193,2.4139990273397416e-06,4.187999365967698e-06
194,3.7879999581491575e-06,4.617999366018921e-06
195,2.3850006982684135e-06,4.378000085125677e-06
196,6.162001227494329e-06,4.2789997678482905e-06
197,2.554999809945002e-06,4.307999915909022e-06
198,3.5769990063272417e-06,4.699000783148222e-06
199,5.710999175789766e-06,4.699000783148222e-06
200,2.7650003175949678e-06,4.408999302540906e-06
201,3.597000613808632e-06,4.7579997044522315e-06
202,2.5440003810217604e-06,4.449000698514283e-06
203,2.3839984351070598e-06,4.4979988160775974e-06
204,2.7149999368702993e-06,4.5480010157916695e-06
205,2.4540004233131185e-06,4.539000656222925e-06
206,5.539999619941227e-06,4.768999133375473e-06
207,3.9169990486698225e-06,4.618999810190871e-06
208,8.947001333581284e-06,4.4979988160775974e-06
209,2.6050001906696707e-06,4.60900082543958e-06
210,2.9660004656761885e-06,4.469000487006269e-06
211,3.667000783025287e-06,4.538998837233521e-06
212,2.7659989427775145e-06,4.607998562278226e-06
213,2.595001205918379e-06,5.129999408381991e-06
214,3.937000656151213e-06,4.7789999371161684e-06
215,2.655000571394339e-06,4.699000783148222e-06
216,2.745000529102981e-06,4.829000317840837e-06
217,4.227998942951672e-06,4.568999429466203e-06
218,4.088000423507765e-06,4.5889992179581895e-06
219,3.326000296510756e-06,4.498999260249548e-06
220,3.1059989851200953e-06,4.74900116387289e-06
221,6.952999683562666e-06,4.899000487057492e-06
222,2.9460006771842018e-06,4.647999958251603e-06
223,3.997000021627173e-06,4.748999344883487e-06
224,3.9480000850744545e-06,4.78899892186746e-06
225,2.6149991754209623e-06,4.80900052934885e-06
226,2.5149984139716253e-06,5.0600010581547394e-06
227,7.92500031820964e-06,4.808998710359447e-06
228,3.827000909950584e-06,5.170000804355368e-06
229,2.5350000214530155e-06,4.859000910073519e-06
230,2.3049997253110632e-06,4.999999873689376e-06
231,2.314998710062355e-06,5.040001269662753e-06
232,2.585000402177684e-06,4.919000275549479e-06
233,3.597000613808632e-06,5.0889993872260675e-06
234,0.0002054270007647574,5.030000465922058e-06
235,6.551999831572175e-06,4.858999091084115e-06
236,2.9459988581947982e-06,5.17999978910666e-06
237,1.1071000699303113e-05,4.949999492964707e-06
238,2.9459988581947982e-06,4.898998668068089e-06
239,2.394999683019705e-06,5.339999916031957e-06
240,7.513999662478454e-06,5.029000021750107e-06
241,3.11499934468884e-06,5.0390008254908025e-06
242,3.9480000850744545e-06,5.130001227371395e-06
243,3.6270012060413137e-06,5.049998435424641e-06
244,4.328001523390412e-06,5.0889993872260675e-06
245,5.090001650387421e-06,5.268999302643351e-06
246,2.9460006771842018e-06,5.119998604641296e-06
247,2.775001121335663e-06,5.009000233258121e-06
248,3.6769997677765787e-06,5.109999619890004e-06
249,2.885999492718838e-06,5.149999196873978e-06
250,3.987999662058428e-06,5.410000085248612e-06
